user_id	bucket	timestamp	block reason
25251960	treatment	20150521154539	spam
25252283	control	20150521162922	abuse
25252071	control	20150521163245	soft username
25252424	treatment	20150521163649	soft username
25252197	control	20150521163823	hard username
25252471	control	20150521164747	abuse
25252752	treatment	20150521171422	abuse
25252991	control	20150521174049	sockpuppetry
25253022	treatment	20150521174329	abuse
25252924	treatment	20150521175026	hard username
25251912	treatment	20150521180621	spam
25253007	control	20150521181717	abuse
25253181	control	20150521182418	abuse
25253010	treatment	20150521183131	hard username
25251930	treatment	20150521183759	hard username
25253591	control	20150521184408	spam
25252835	control	20150521185009	abuse
25253936	treatment	20150521194429	hard username
25254026	treatment	20150521200536	abuse
25252972	treatment	20150521202501	abuse
25254428	treatment	20150521202830	abuse
25253558	treatment	20150521210028	abuse
25254644	treatment	20150521211720	hard username
25253336	treatment	20150521212840	abuse
25254701	control	20150521214401	hard username
25253289	control	20150521214538	abuse
25255212	treatment	20150521222604	abuse
25253354	treatment	20150521230550	hard username
25255156	treatment	20150521230714	abuse
25255256	treatment	20150521230721	abuse
25255284	treatment	20150521230811	hard username
25255301	control	20150521230815	hard username
25255322	treatment	20150521230820	hard username
25255337	control	20150521230824	hard username
25255903	control	20150522002956	abuse
25255749	control	20150522003041	abuse
25255833	control	20150522003108	abuse
25255720	treatment	20150522003848	abuse
25255209	control	20150522004108	abuse
25254273	control	20150522004447	spam
25254129	control	20150522004743	abuse
25253649	control	20150522004942	abuse
25252588	treatment	20150522005127	abuse
25256155	control	20150522012117	abuse
25255841	control	20150522014555	abuse
25255867	control	20150522014705	sockpuppetry
25255832	treatment	20150522014709	sockpuppetry
25255829	control	20150522014726	sockpuppetry
25256303	control	20150522014952	hard username
25255994	treatment	20150522015505	abuse
25254623	control	20150522015944	hard username
25255042	treatment	20150522020000	hard username
25256236	treatment	20150522020018	hard username
25253660	treatment	20150522020346	hard username
25254079	control	20150522020641	hard username
25256337	control	20150522021706	hard username
25256447	control	20150522021817	abuse
25256070	treatment	20150522021836	abuse
25256514	treatment	20150522022936	hard username
25256449	control	20150522023433	hard username
25256609	control	20150522024241	hard username
25256632	treatment	20150522024630	abuse
25256661	control	20150522025103	hard username
25253781	control	20150522025217	spam
25255896	treatment	20150522025351	abuse
25256683	control	20150522025432	hard username
25256719	control	20150522030109	hard username
25256739	control	20150522030432	hard username
25256803	control	20150522031524	abuse
25256744	treatment	20150522031720	hard username
25256561	control	20150522031757	hard username
25256817	control	20150522031817	hard username
25256854	treatment	20150522032342	hard username
25256621	control	20150522032819	abuse
25257084	treatment	20150522040659	hard username
25257001	control	20150522040747	hard username
25257325	control	20150522045743	spam
25257322	treatment	20150522045847	abuse
25257170	treatment	20150522050902	hard username
25257281	control	20150522051203	abuse
25256825	control	20150522051719	abuse
25255998	treatment	20150522053403	hard username
25257433	control	20150522054149	abuse
25257845	control	20150522064447	abuse
25257983	control	20150522065406	abuse
25258112	treatment	20150522075951	hard username
25258111	control	20150522075955	hard username
25257899	control	20150522080022	hard username
25257714	treatment	20150522080031	hard username
25257386	treatment	20150522080048	hard username
25258486	treatment	20150522083538	hard username
25258007	control	20150522083955	spam
25256641	control	20150522085009	abuse
25258584	treatment	20150522085838	spam
25257881	control	20150522090901	spam
25258761	control	20150522091953	abuse
25258793	control	20150522092221	abuse
25258763	control	20150522093546	hard username
25258916	treatment	20150522093718	hard username
25259020	treatment	20150522094753	abuse
25258452	treatment	20150522100239	hard username
25259311	control	20150522101953	spam
25256345	control	20150522103731	hard username
25259403	control	20150522104446	hard username
25259380	treatment	20150522104632	hard username
25259398	treatment	20150522104705	hard username
25259458	treatment	20150522104759	spam
25259724	treatment	20150522112616	hard username
25259579	control	20150522113324	hard username
25259875	control	20150522113550	spam
25259975	control	20150522120655	abuse
25259754	treatment	20150522120726	hard username
25260163	control	20150522121439	hard username
25260260	treatment	20150522123223	spam
25260282	treatment	20150522123457	hard username
25260307	control	20150522123605	spam
25254823	control	20150522124234	abuse
25258787	control	20150522124344	abuse
25259999	control	20150522124546	spam
25260503	control	20150522125653	sockpuppetry
25260514	treatment	20150522125922	spam
25260750	treatment	20150522134838	hard username
25260931	control	20150522135042	abuse
25259504	treatment	20150522142656	abuse
25260362	treatment	20150522145059	hard username
25261413	control	20150522150450	hard username
25261424	treatment	20150522154507	soft username
25261540	treatment	20150522154625	hard username
25256063	control	20150522155415	abuse
25261165	control	20150522163935	spam
25259825	control	20150522164040	spam
25252622	treatment	20150522174959	abuse
25258457	control	20150522192228	hard username
25260689	control	20150522192743	hard username
25260988	treatment	20150522192853	hard username
25257423	control	20150522193114	hard username
25259935	control	20150522193156	hard username
25259587	control	20150522193229	hard username
25259805	control	20150522193316	spam
25252202	treatment	20150522202320	policy violation
25257958	treatment	20150522213234	hard username
25253804	treatment	20150522214633	hard username
25257949	control	20150522215539	abuse
25258871	control	20150522221534	hard username
